Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Cond,Foundation,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,SalePrice,Ord_lotshape,Ord_utilities,Ord_landslope,Ord_exter_qual,Ord_exter_cond,Ord_bsmt_qual,Ord_kitchen_qual,Ord_fireplacequ,Ord_garage_qual,Ord_bsmt_cond,Ord_garage_cond,Ord_heatingQC,Ord_bsmt_exposure,Ord_bsmtfintype1,Ord_bsmtfintype2,Ord_electrical,Ord_functional,Ord_garage_finish,Ord_paved_drive,house_age,remod_period,garage_age,AllFlrSF,AllPorchSF,AllSF,TotalBath,Cat_neighborhoods_1,Cat_neighborhoods_2,Cat_mszone,Cat_lotconfig,Cat_housestyle,Cat_roofstyle,Cat_exterior1,Cat_exterior2,Cat_masvnrtype,Cat_foundation,Cat_garagetype
1044,527451290,160,RM,21.0,1680.0,Pave,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,CBlock,387.0,0.0,96.0,483.0,GasA,Y,483.0,504.0,0.0,987.0,0,0,1,1,2,1,4,0,Detchd,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,COD,85400,4,4,3,3,3,3,3,0,3,3,3,3,1,5,1,5,8,1,3,37.0,37.0,37.0,987.0,0.0,1470.0,1.5,0,0,0,0,1,0,0,0,1,0,0
2752,906380150,20,RL,64.0,7488.0,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,393.0,0.0,815.0,1208.0,GasA,Y,1208.0,0.0,0.0,1208.0,0,0,2,0,2,1,6,0,Attchd,2,632.0,105.0,58.0,0.0,0.0,0.0,0.0,0.0,2,WD ,183600,3,4,3,4,3,4,4,0,3,3,3,5,3,6,1,5,8,2,3,1.0,1.0,1.0,1208.0,58.0,2416.0,2.0,0,1,0,0,0,0,1,1,0,1,1
807,906226060,70,RL,120.0,26400.0,Pave,Bnk,FR2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,PConc,0.0,0.0,0.0,0.0,GasA,Y,1288.0,728.0,0.0,2016.0,0,0,1,0,4,1,7,1,Attchd,2,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,WD ,131000,4,4,3,4,3,0,3,3,3,0,3,5,1,0,0,5,5,1,2,129.0,2.0,109.0,2016.0,0.0,2016.0,1.0,0,1,0,0,1,0,0,0,0,1,1
1177,533236070,160,FV,24.0,2645.0,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,TA,PConc,813.0,0.0,147.0,960.0,GasA,Y,962.0,645.0,0.0,1607.0,1,0,2,1,3,1,7,0,Detchd,2,480.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,12,ConLD,200000,4,4,3,4,3,4,4,0,3,3,3,5,1,6,1,5,8,1,3,9.0,8.0,8.0,1607.0,0.0,2567.0,3.5,0,1,1,0,1,0,0,0,1,1,0
1480,907418040,20,RL,74.0,9627.0,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,24.0,0.0,1327.0,1351.0,GasA,Y,1361.0,0.0,0.0,1361.0,0,0,2,0,3,1,6,0,Attchd,2,610.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,6,WD ,193000,4,4,3,4,3,4,4,0,3,3,3,5,3,6,1,5,8,2,3,1.0,1.0,1.0,1361.0,50.0,2712.0,2.0,0,1,0,0,0,0,1,1,0,1,1
324,923202105,20,RL,93.0,10114.0,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,0.0,0.0,1430.0,1430.0,GasA,Y,1430.0,0.0,0.0,1430.0,0,0,2,0,3,1,7,0,Attchd,2,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,WD ,173500,4,4,3,3,3,5,4,0,3,3,3,5,3,1,1,5,8,2,3,6.0,5.0,6.0,1430.0,0.0,2860.0,2.0,0,0,0,0,0,0,1,1,0,1,1
1311,902301140,70,RM,34.0,4571.0,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,BrkTil,0.0,0.0,624.0,624.0,GasA,N,624.0,720.0,0.0,1344.0,0,0,1,0,4,1,7,0,Detchd,3,513.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,5,COD,98000,4,4,3,3,3,3,3,0,2,3,2,2,1,1,1,5,8,1,3,92.0,58.0,92.0,1344.0,96.0,1968.0,1.0,0,0,0,0,1,0,0,0,0,0,0
770,905101490,20,RL,80.0,8816.0,Pave,Lvl,Corner,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,651.0,0.0,470.0,1121.0,GasA,Y,1121.0,0.0,0.0,1121.0,1,0,1,0,3,1,5,0,Detchd,2,480.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,6,WD ,139000,4,4,3,3,3,3,3,0,3,3,3,3,1,3,1,5,8,1,3,46.0,46.0,46.0,1121.0,80.0,2242.0,2.0,0,0,0,0,0,0,1,1,0,1,0
2063,905107140,20,RL,71.0,8197.0,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,CBlock,0.0,0.0,660.0,660.0,GasA,Y,1285.0,0.0,0.0,1285.0,0,0,1,1,3,1,7,1,Attchd,2,528.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,4,WD ,143500,4,4,3,3,3,3,3,3,3,3,3,5,1,1,1,5,8,2,3,30.0,30.0,30.0,1285.0,0.0,1945.0,1.5,0,0,0,0,0,0,0,0,1,0,1
69,528458070,60,FV,72.0,8640.0,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,24.0,0.0,732.0,756.0,GasA,Y,764.0,783.0,0.0,1547.0,0,0,2,1,3,1,7,0,Attchd,2,614.0,169.0,45.0,0.0,0.0,0.0,0.0,0.0,6,Con,215200,4,4,3,3,3,4,4,0,3,3,3,5,2,6,1,5,8,1,3,1.0,1.0,1.0,1547.0,45.0,2303.0,2.5,0,1,1,0,1,0,1,1,0,1,1
2062,905106150,20,RL,109.0,8724.0,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,492.0,0.0,402.0,894.0,GasA,Y,894.0,0.0,0.0,894.0,0,0,1,0,3,1,5,1,Attchd,2,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,WD ,129000,4,4,3,3,3,4,3,1,3,3,3,4,1,4,1,5,8,3,3,39.0,39.0,39.0,894.0,0.0,1788.0,1.0,0,0,0,0,0,0,1,1,0,0,1
351,527131030,120,RL,40.0,5664.0,Pave,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,1158.0,0.0,343.0,1501.0,GasA,Y,1659.0,0.0,0.0,1659.0,1,0,2,0,2,1,5,1,Attchd,2,499.0,212.0,59.0,0.0,0.0,0.0,0.0,0.0,10,WD ,278000,3,4,3,4,3,4,5,5,3,3,3,5,1,6,1,5,8,3,3,9.0,9.0,9.0,1659.0,59.0,3160.0,3.0,1,0,0,0,0,0,0,1,0,1,1
2393,528142010,60,RL,103.0,12867.0,Pave,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,0.0,0.0,1209.0,1209.0,GasA,Y,1209.0,1044.0,0.0,2253.0,0,0,2,1,3,1,8,1,Attchd,2,575.0,243.0,142.0,0.0,0.0,0.0,0.0,0.0,7,New,344133,3,4,3,4,3,5,5,4,3,3,3,5,3,1,1,5,8,3,3,1.0,0.0,1.0,2253.0,142.0,3462.0,2.5,1,0,0,0,1,0,0,1,0,1,1
12,527165230,20,RL,69.05520046484602,7980.0,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,PConc,935.0,0.0,233.0,1168.0,GasA,Y,1187.0,0.0,0.0,1187.0,1,0,2,0,3,1,6,0,Attchd,2,420.0,483.0,21.0,0.0,0.0,0.0,0.0,500.0,3,WD ,185000,3,4,3,3,4,4,3,0,3,3,3,5,1,5,1,5,8,3,3,18.0,3.0,18.0,1187.0,21.0,2355.0,3.0,0,1,0,0,0,0,0,0,0,1,1
2339,527250040,190,RL,100.0,34650.0,Pave,Bnk,Inside,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,1056.0,0.0,0.0,1056.0,GasA,N,1056.0,0.0,0.0,1056.0,1,0,1,0,3,1,5,0,Attchd,2,572.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WD ,145000,4,4,3,3,3,3,3,0,3,3,3,3,2,3,1,5,8,3,3,51.0,51.0,51.0,1056.0,0.0,2112.0,2.0,0,1,0,0,0,1,0,0,0,0,1
624,535104120,20,RL,92.0,10573.0,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,CBlock,1312.0,0.0,141.0,1453.0,GasA,Y,1453.0,0.0,0.0,1453.0,1,0,2,0,3,1,6,1,Attchd,2,530.0,0.0,49.0,0.0,0.0,288.0,0.0,0.0,4,WD ,187500,3,4,3,3,3,3,3,3,3,3,3,5,1,3,1,5,8,2,3,48.0,48.0,48.0,1453.0,337.0,2906.0,3.0,0,1,0,0,0,1,0,0,1,0,1
86,532376160,20,RL,65.0,8450.0,Pave,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,CBlock,553.0,117.0,224.0,894.0,GasA,Y,894.0,0.0,0.0,894.0,1,0,1,0,3,1,5,1,Detchd,1,336.0,416.0,144.0,0.0,0.0,0.0,0.0,0.0,4,WD ,138500,4,4,3,3,4,3,3,4,3,3,3,5,1,6,4,5,8,1,3,45.0,1.0,37.0,894.0,144.0,1788.0,2.0,0,0,0,0,0,0,0,0,0,0,0
1534,909277040,50,RL,69.05520046484602,11700.0,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,CBlock,606.0,0.0,336.0,942.0,GasA,Y,1265.0,673.0,0.0,1938.0,0,0,2,0,4,1,7,1,Detchd,1,240.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7,WD ,198000,3,4,2,3,3,3,4,4,3,3,3,5,1,4,1,5,6,1,3,71.0,13.0,71.0,1938.0,40.0,2880.0,2.0,0,1,0,0,0,0,0,0,0,0,0
2243,911103060,190,C (all),75.0,8250.0,Pave,Lvl,Inside,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,CBlock,0.0,0.0,957.0,957.0,GasA,N,1034.0,957.0,0.0,1991.0,0,0,2,0,4,2,9,0,NA,0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,6,WD ,119600,4,4,3,3,4,3,3,0,0,3,0,2,1,1,1,5,8,0,1,112.0,1.0,0.0,1991.0,133.0,2948.0,2.0,0,0,0,0,1,0,1,1,0,0,0
1957,535450190,50,RL,60.0,8064.0,Pave,Lvl,Corner,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,CBlock,0.0,0.0,672.0,672.0,GasA,Y,672.0,252.0,0.0,924.0,0,0,1,0,3,1,6,1,Detchd,2,576.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,7,WD ,122900,4,4,3,3,4,3,3,1,3,3,3,5,2,1,1,5,8,1,3,58.0,1.0,4.0,924.0,0.0,1596.0,1.0,0,1,0,0,0,0,0,0,0,0,0
380,527355150,20,RL,80.0,9600.0,Pave,Lvl,Inside,NWAmes,PosN,Norm,1Fam,1Story,8,5,Hip,WdShngl,BrkFace,BrkFace,None,0.0,TA,PConc,1104.0,0.0,1420.0,2524.0,GasA,Y,2524.0,0.0,0.0,2524.0,1,0,2,1,4,1,9,1,Attchd,2,542.0,474.0,120.0,0.0,0.0,0.0,0.0,0.0,7,WD ,278000,4,4,3,4,3,4,4,4,3,3,3,3,1,5,1,5,8,3,3,28.0,28.0,28.0,2524.0,120.0,5048.0,3.5,0,0,0,0,0,1,0,0,0,1,1
2860,909276010,70,RL,69.05520046484602,11435.0,Pave,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,PConc,0.0,0.0,792.0,792.0,GasA,Y,792.0,725.0,0.0,1517.0,0,0,1,0,3,1,7,2,Detchd,2,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,WD ,230000,3,4,2,3,3,4,4,4,3,3,3,2,1,1,1,5,8,1,3,77.0,56.0,75.0,1517.0,0.0,2309.0,1.0,0,1,0,0,1,0,0,0,0,1,0
2517,533250130,120,RL,30.0,9549.0,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,PConc,437.0,1057.0,0.0,1494.0,GasA,Y,1494.0,0.0,0.0,1494.0,1,0,1,1,2,1,6,1,Attchd,2,481.0,0.0,30.0,0.0,0.0,216.0,0.0,0.0,4,WD ,270000,3,4,3,4,4,4,5,4,3,4,3,5,3,2,6,5,8,3,3,11.0,10.0,11.0,1494.0,246.0,2988.0,2.5,1,0,0,1,0,1,0,0,0,1,1
1933,535302070,20,RL,60.0,10950.0,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,441.0,0.0,507.0,948.0,GasA,Y,948.0,0.0,0.0,948.0,0,0,1,0,2,1,5,0,Detchd,2,410.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,4,WD ,125000,4,4,3,3,3,3,3,0,3,3,3,3,1,5,1,5,8,1,1,55.0,55.0,55.0,948.0,48.0,1896.0,1.0,0,1,0,0,0,1,0,0,0,0,0
820,906340110,20,RL,79.0,10637.0,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,TA,PConc,1288.0,0.0,417.0,1705.0,GasA,Y,1718.0,0.0,0.0,1718.0,1,0,2,0,3,1,7,1,Attchd,3,826.0,208.0,44.0,0.0,0.0,0.0,0.0,0.0,9,WD ,297000,4,4,3,4,3,5,4,4,3,3,3,5,4,6,1,5,8,2,3,2.0,1.0,2.0,1718.0,44.0,3423.0,3.0,0,1,0,0,0,1,1,1,1,1,1
675,535426150,20,RL,80.0,9000.0,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,CBlock,0.0,0.0,160.0,160.0,GasA,Y,1142.0,0.0,0.0,1142.0,0,0,1,0,2,1,5,1,Basment,1,384.0,0.0,28.0,64.0,0.0,0.0,0.0,0.0,4,WD ,113500,3,4,2,3,3,4,3,4,3,3,3,2,4,1,1,5,8,2,3,51.0,51.0,51.0,1142.0,92.0,1302.0,1.0,0,1,0,0,0,0,0,0,1,0,0
2910,923225240,160,RM,41.0,2665.0,Pave,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,548.0,173.0,36.0,757.0,GasA,Y,925.0,550.0,0.0,1475.0,0,0,2,0,4,1,6,1,Attchd,1,336.0,104.0,26.0,0.0,0.0,0.0,0.0,0.0,7,WD ,127000,4,4,3,3,3,3,3,3,3,3,3,5,1,5,3,5,8,2,3,29.0,29.0,29.0,1475.0,26.0,2232.0,2.0,0,0,0,0,1,0,0,1,0,1,1
21,527358140,20,RL,105.0,11751.0,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,CBlock,705.0,0.0,1139.0,1844.0,GasA,Y,1844.0,0.0,0.0,1844.0,0,0,2,0,3,1,7,1,Attchd,2,546.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,1,COD,190000,3,4,3,3,3,4,3,3,3,3,3,5,1,4,1,5,8,2,3,33.0,33.0,33.0,1844.0,122.0,3688.0,2.0,0,0,0,0,0,1,0,0,1,0,1
1873,534177210,20,RL,80.0,9600.0,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,CBlock,916.0,0.0,326.0,1242.0,GasA,Y,1242.0,0.0,0.0,1242.0,0,0,1,1,3,1,6,1,Attchd,2,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,WD ,175500,4,4,3,3,3,3,3,3,3,3,3,2,1,5,1,5,8,1,3,34.0,34.0,34.0,1242.0,0.0,2484.0,1.5,0,0,0,0,0,1,0,0,1,0,1
2125,907135050,20,RL,60.0,8428.0,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,420.0,0.0,570.0,990.0,GasA,Y,990.0,0.0,0.0,990.0,1,0,1,0,3,1,5,0,Detchd,1,384.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,7,WD ,146000,2,4,3,3,4,4,3,0,3,4,3,5,1,6,1,5,8,1,3,13.0,13.0,12.0,990.0,0.0,1980.0,2.0,0,1,0,0,0,0,1,1,0,1,0
1489,908102260,20,RL,75.0,9937.0,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,830.0,290.0,136.0,1256.0,GasA,Y,1256.0,0.0,0.0,1256.0,1,0,1,1,3,1,6,0,Attchd,1,276.0,736.0,68.0,0.0,0.0,0.0,0.0,0.0,6,WD ,147500,4,4,3,4,3,3,3,0,3,3,3,4,1,4,2,5,8,3,3,43.0,43.0,43.0,1256.0,68.0,2512.0,2.5,0,0,0,0,0,0,0,0,0,0,1
2383,528110050,20,RL,107.0,13891.0,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,1386.0,0.0,690.0,2076.0,GasA,Y,2076.0,0.0,0.0,2076.0,1,0,2,1,2,1,7,1,Attchd,3,850.0,216.0,229.0,0.0,0.0,0.0,0.0,0.0,9,New,465000,4,4,3,5,3,5,5,4,3,4,3,5,4,6,1,5,8,3,3,0.0,0.0,0.0,2076.0,229.0,4152.0,3.5,1,0,0,0,0,0,1,1,0,1,1
